"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-1.70253267431448,8.38607283829344,-15.0812369080081,2.47674806866814e-32,2.98328299626027e-30,62.9049443264335,"231904_at"
-1.992333055561,8.8792683648283,-15.0725239203837,2.61382174355903e-32,3.12320332494382e-30,62.8514284838955,"214707_x_at"
-2.11145245010949,9.59586140853278,-14.9600418661087,5.24225179056787e-32,6.21414863046998e-30,62.1600230891926,"215588_x_at"
-2.09185570961205,9.43040813860562,-14.9314621312094,6.25719423126575e-32,7.35885456993584e-30,61.9841937796554,"214594_x_at"
-5.10953594963559,9.15174919105099,-14.9073118555013,7.26691134091984e-32,8.47957717093584e-30,61.835567264313,"218232_at"
-4.60939105716247,10.7222281598335,-14.8658233286652,9.39742195160324e-32,1.08806119588485e-29,61.5801346935614,"201785_at"
-7.57086806634311,10.8808731446826,-14.8074358963667,1.34971487440993e-31,1.5507185664759e-29,61.2204440004623,"223122_s_at"
-2.63114689747361,8.90201118231009,-14.7838578136411,1.56230922097389e-31,1.78127103240199e-29,61.0751223725914,"1559156_at"
-2.51348966653594,8.2830063925078,-14.7765789534605,1.63448721355029e-31,1.84944704708993e-29,61.0302515333558,"215012_at"
-5.9269086972579,11.0691886628512,-14.7136212171813,2.41604281176589e-31,2.71323424334852e-29,60.6419866879151,"203083_at"
-1.97773827777233,8.73901384807492,-14.704861188989,2.55111420336077e-31,2.84354042846242e-29,60.5879405321554,"241786_at"
-2.67081026107135,7.50222084578564,-14.6873247262552,2.84466939211988e-31,3.14725792894092e-29,60.4797306849795,"237895_at"
-3.19472879713697,9.73792070301769,-14.6651794545065,3.26421469530338e-31,3.58487578595966e-29,60.3430509645411,"239597_at"
-2.32519521270059,9.66630775109261,-14.6576747483457,3.42002639405037e-31,3.72857768040411e-29,60.2967244309411,"230387_at"
-1.82854744929241,8.83612136170655,-14.6273971744881,4.12807872246687e-31,4.46789737672212e-29,60.1097812470129,"242578_x_at"
-1.85047139837239,8.59814719833507,-14.617022740686,4.40306097370109e-31,4.73123156138126e-29,60.0457116656653,"237239_at"
-4.94207850570317,11.0133348203954,-14.5098959200233,8.57314245263064e-31,9.1463182623208e-29,59.3836983392234,"217028_at"
